_id,rollno,schoolname,visualScore,visualTime,audioScore,audioTime,kinestheticScore,kinestheticTime,readWriteScore,readWriteTime,predictedStyle
694134fc0ea401e84a5a38b4,47,lfsh,2,1162,3,281,9,456,6,161,Kinesthetic
694134fc0ea401e84a5a38bb,26,ryan international school,4,1647,0,627,2,204,9,1293,Read/Write
694134fd0ea401e84a5a38e6,20,miranda public school,8,827,1,1483,12,806,11,1084,Kinesthetic
694134fd0ea401e84a5a3911,42,nps,3,1995,13,493,2,210,0,621,Auditory
694134fd0ea401e84a5a3924,17,dpsbe,7,62,10,180,14,1021,15,323,Read/Write
694134fd0ea401e84a5a392b,36,st.vincent pallotti school,3,670,3,999,8,980,0,803,Kinesthetic
694134fd0ea401e84a5a3932,4,lfsh,12,1495,14,711,1,624,8,192,Auditory
694134fd0ea401e84a5a394b,19,st.vincent pallotti school,13,203,9,94,5,1215,7,710,Visual
694134fd0ea401e84a5a395e,3,lfsh,0,703,7,399,3,770,14,853,Read/Write
694134fd0ea401e84a5a3989,24,nps,9,1742,10,408,5,1178,12,1186,Read/Write
694135000ea401e84a5a39ae,14,dpsbe,9,1070,7,1346,10,1079,9,469,Kinesthetic
694135000ea401e84a5a39cd,39,lfsh,2,1153,5,1133,0,357,7,242,Read/Write
694135000ea401e84a5a3a6a,37,nps,8,870,11,857,4,373,7,194,Auditory
694135010ea401e84a5a3a89,45,lfsh,1,155,6,207,12,383,1,150,Kinesthetic
694135030ea401e84a5a3b03,27,nps,10,1867,9,156,1,592,1,861,Visual
693d035535fab56ec1fbf988,7,st. charles high school,8,36,9,32,10,37,11,51,Visual
693d055b35fab56ec1fbf98a,21,miranda public school,12,89,0,10,5,35,13,131,Read/Write 
693d078635fab56ec1fbf98e,32,dpsbe,15,51,0,0,14,40,15,51,Auditory
693d08f035fab56ec1fbf993,18,st.vincent pallotti school,13,100,11,40,13,63,11,130,Read/Write 
693d0ad635fab56ec1fbf996,31,ryan international school,10,83,12,27,9,40,12,76,Kinesthetic
693d1b8a58b4d2b5d2957197,11,schs,10,41,12,55,9,38,15,76,Visual
693d1bbe58b4d2b5d295719b,15,schs,13,44,15,26,7,30,7,42,Kinesthetic
693d28cb35fab56ec1fbf9e9,5,lfsh,15,216,0,0,14,99,11,417,Auditory
6940270535fab56ec1fc0362,18,ryan international school,15,3054,7,82,15,154,13,294,Read/Write
6940270535fab56ec1fc0362,18,ryan international school,15,3054,7,82,15,154,13,294,Read/Write
69413d02d7d68295d2ff121a,25,little flower english high school,9,64,12,52,9,66,13,105,Visual
69414683d7d68295d2ff125d,10,indian public school,11,298,14,125,5,423,11,298,Auditory
6941584bd7d68295d2ff12c7,77,XYZ School,10,41,10,23,12,39,4,26,Kinesthetic
694184fdd7d68295d2ff1384,14,st. charles high school,7,27,5,25,12,37,7,30,Kinesthetic
694266c67c599a12a237a192,40,ryan international school,11,67,11,34,14,65,14,64,Visual
6942c66b7c599a12a237a356,14,abc high school,5,56,8,72,10,86,7,68,Kinesthetic
6942ca0f7c599a12a237a364,10,ryan international school,13,37,11,27,12,38,12,52,Visual
6942e47b7c599a12a237a3ae,1,dps school,13,46,12,27,8,25,10,34,Visual
6943975a7c599a12a237a4aa,25,ryan international school,5,25,9,22,2,25,11,38,Read/Write
6943a9407c599a12a237a4f4,10,nps school,15,39,14,21,15,36,14,37,Visual
6944444f7c599a12a237a755,20,nps school,14,52,13,35,14,44,13,58,Kinesthetic
694448a27c599a12a237a75e,25,nps school,14,142,13,33,13,184,13,68,Visual
6944f0527c599a12a237a848,4,nps,14,64,6,46,8,42,8,65,Visual
6944f3947c599a12a237a851,111,kishor vidya bhavan,14,63,9,104,14,173,12,311,Visual
6944f6fb7c599a12a237a861,30,nps school,11,98,12,76,14,32,9,46,Kinesthetic
6944f8de7c599a12a237a868,6,ryan international school,12,432,14,295,0,10,0,14,Auditory
6944fa727c599a12a237a872,123,abc,0,0,0,0,0,0,13,196,Read/Write 
6944fb327c599a121a237a874,3,schs,10,190,9,145,4,93,6,56,Visual
6944ff467c599a12a237a884,4,ryan international school,13,184,14,104,15,34,15,105,Kinesthetic
694502d47c599a12a237a88e,24,vydehi school,14,154,14,72,15,43,14,54,Kinesthetic
6944ff307c599a12a237a883,34,sea school,15,429,5,72,13,47,13,199,Visual
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
